Actors,Directors,Durations,Rating,Title,Urls,Year
"[u' Elijah Wood', u' Ian McKellen']",Peter Jackson (dir.),"2h 59min
",8.7,The Lord of the Rings: The Two Towers,http://www.imdb.com/title/tt0167261/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=152NZEF9BHZHPX6W9DQH&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_15,(2002)
"[u' Jack Nicholson', u' Louise Fletcher']",Milos Forman (dir.),"2h 13min
",8.7,One Flew Over the Cuckoo's Nest,http://www.imdb.com/title/tt0073486/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=152NZEF9BHZHPX6W9DQH&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_16,(1975)
"[u' Robert De Niro', u' Ray Liotta']",Martin Scorsese (dir.),"2h 26min
",8.7,Goodfellas,http://www.imdb.com/title/tt0099685/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=152NZEF9BHZHPX6W9DQH&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_17,(1990)
"[u' Keanu Reeves', u' Laurence Fishburne']",Lana Wachowski (dir.),"2h 16min
",8.7,The Matrix,http://www.imdb.com/title/tt0133093/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=152NZEF9BHZHPX6W9DQH&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_18,(1999)
"[u' Toshir\xf4 Mifune', u' Takashi Shimura']",Akira Kurosawa (dir.),"3h 27min
",8.6,Shichinin no samurai,http://www.imdb.com/title/tt0047478/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=152NZEF9BHZHPX6W9DQH&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_19,(1954)
"[u' Mark Hamill', u' Harrison Ford']",George Lucas (dir.),"2h 1min
 ",8.6,Star Wars,http://www.imdb.com/title/tt0076759/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=152NZEF9BHZHPX6W9DQH&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_20,(1977)
"[u' Alexandre Rodrigues', u' Leandro Firmino']",Fernando Meirelles (dir.),"2h 10min
",8.6,Cidade de Deus,http://www.imdb.com/title/tt0317248/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=152NZEF9BHZHPX6W9DQH&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_21,(2002)
"[u' Morgan Freeman', u' Brad Pitt']",David Fincher (dir.),"2h 7min
 ",8.6,Se7en,http://www.imdb.com/title/tt0114369/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=152NZEF9BHZHPX6W9DQH&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_22,(1995)
"[u' Jodie Foster', u' Anthony Hopkins']",Jonathan Demme (dir.),"1h 58min
",8.6,The Silence of the Lambs,http://www.imdb.com/title/tt0102926/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=152NZEF9BHZHPX6W9DQH&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_23,(1991)
"[u' James Stewart', u' Donna Reed']",Frank Capra (dir.),"2h 10min
",8.6,It's a Wonderful Life,http://www.imdb.com/title/tt0038650/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=152NZEF9BHZHPX6W9DQH&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_24,(1946)
